,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
43,rocket-pool-eth,reth,Rocket Pool ETH,https://assets.coingecko.com/coins/images/20764/large/reth.png?1637652366,0.06953007,34971,44,34971.0,326.463,0.06991899,0.06954006,-0.000366322009465195,-0.52409,-137.2236875766539,-0.39086,502281.643795793,502278.853974194,,0.2328,-70.09537,2022-11-01T06:11:24.493Z,0.03710894,87.60433,2022-06-13T03:58:23.949Z,,2023-08-22T14:48:39.705Z,,,
44,kaspa,kas,Kaspa,https://assets.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1653891958,1.63e-06,32775,45,46394.0,428.508,1.66e-06,1.59e-06,1.6579e-08,1.02704,-68.8633809603416,-0.20967,20278156622.4798,20278277425.6588,28704026601.0,1.78e-06,-9.23261,2023-08-06T12:10:40.416Z,5.696e-09,28278.02667,2022-06-01T06:54:10.263Z,,2023-08-22T14:48:39.033Z,,,
45,the-graph,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1608145566,3.47e-06,31839,46,34761.0,1092.0,3.55e-06,3.47e-06,-6.7057318613e-08,-1.89335,-608.53873956397,-1.87548,9159344753.47202,10000000000.0,,6.04e-05,-94.24667,2021-02-12T07:28:45.775Z,3.25e-06,7.06249,2023-08-17T22:55:30.620Z,,2023-08-22T14:48:37.571Z,,,
46,frax,frax,Frax,https://assets.coingecko.com/coins/images/13422/large/FRAX_icon.png?1679886922,3.832e-05,30937,47,30937.0,146.444,3.854e-05,3.813e-05,4.9782e-08,0.13008,39.680014,0.12842,806723780.559441,806723780.559441,,6.44e-05,-40.45494,2022-11-21T21:55:45.085Z,1.455e-05,163.50066,2021-11-10T14:26:00.840Z,,2023-08-22T14:48:39.572Z,,,
47,aave,aave,Aave,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1601374110,0.00209583,30538,48,33646.0,2452.0,0.00217126,0.00209956,-7.5308890794696e-05,-3.46864,-1018.5315028002187,-3.22762,14522317.994043648,16000000.0,16000000.0,0.01560415,-86.54951,2021-05-19T07:49:37.761Z,0.00175077,19.88096,2020-11-05T13:30:38.074Z,,2023-08-22T14:48:41.829Z,,,
48,whitebit,wbt,WhiteBIT Coin,https://assets.coingecko.com/coins/images/27045/large/wbt_token.png?1667923752,0.00020612,29759,49,82596.0,259.411,0.00020749,0.00020209,3.93e-06,1.94606,599.096,2.05452,144118517.10815412,368493247.0,400000000.0,0.0007269,-71.64017,2022-10-28T12:32:18.119Z,0.00013661,50.90234,2023-02-02T01:02:51.363Z,,2023-08-22T14:48:45.952Z,,,
49,xdce-crowd-sale,xdc,XDC Network,https://assets.coingecko.com/coins/images/2912/large/xdc-icon.png?1633700890,2.09e-06,29067,50,79407.0,471.08,2.19e-06,2.08e-06,-8.1884655298e-08,-3.76796,-1051.0423377896404,-3.48974,13857943592.55,37857944391.75,,3.96e-06,-47.01643,2021-08-21T04:29:08.302Z,3.4687e-08,5947.4819,2019-07-11T00:00:00.000Z,,2023-08-22T14:48:36.833Z,3.3658933620528364,eth,336.58933620528364
50,algorand,algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1547039725,3.67e-06,28782,51,36773.0,971.313,3.73e-06,3.63e-06,2.1962e-08,0.60145,239.988,0.84081,7827173807.94357,7827173797.29057,10000000000.0,0.0003803,-99.03306,2019-06-20T14:51:19.480Z,3.32e-06,10.60592,2023-08-17T21:45:29.191Z,,2023-08-22T14:48:44.070Z,-0.9601968853431738,usd,-96.01968853431738
51,usdd,usdd,USDD,https://assets.coingecko.com/coins/images/25380/large/UUSD.jpg?1651823371,3.834e-05,27829,52,,1032.0,3.844e-05,3.808e-05,1.31766e-07,0.34483,52.982,0.19074,725332034.742248,,,6.368e-05,-39.76005,2022-11-21T22:15:24.793Z,2.505e-05,53.12906,2022-05-04T20:38:59.491Z,,2023-08-22T14:48:42.184Z,,,
52,elrond-erd-2,egld,MultiversX,https://assets.coingecko.com/coins/images/12335/large/egld-token-logo.png?1673490885,0.00101038,26144,53,31757.0,458.893,0.00103774,0.00100794,-2.6697842012817e-05,-2.57434,-700.2133667863491,-2.60844,25863005.0,25868157.0,31415926.0,0.00958979,-89.46562,2021-11-23T08:59:12.407Z,0.00040416,149.9573,2020-11-18T12:30:07.583Z,,2023-08-22T14:48:45.845Z,,,
