,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
82,flow,flow,Flow,https://assets.coingecko.com/coins/images/13446/large/5f6294c0c7a8cda55cb1c936_Flow_Wordmark.png?1631696776,0.451359,467471748,83,654450068.0,17454244.0,0.461429,0.449515,0.00108415,0.24078,680398.0,0.14576,1036200000.0,1450656993.87114,1450656993.87114,42.4,-98.93522,2021-04-05T13:49:10.098Z,0.431078,4.72227,2023-08-17T22:15:05.867Z,,2023-08-22T15:35:20.634Z,,,
83,ecash,xec,eCash,https://assets.coingecko.com/coins/images/16646/large/Logo_final-22.png?1628239446,2.366e-05,461194849,84,497252500.0,3145758.0,2.418e-05,2.353e-05,1.26138e-07,0.53596,-2665532.5227654576,-0.57464,19477210923093.0,21000000000000.0,21000000000000.0,0.00038001,-93.77818,2021-09-04T17:09:31.137Z,1.847e-05,28.01215,2021-07-20T20:49:46.212Z,,2023-08-22T15:35:24.278Z,,,
84,pepe,pepe,Pepe,https://assets.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1682922725,1.06e-06,445685496,85,445685496.0,38995567.0,1.1e-06,1.05e-06,-8.58412581e-09,-0.8034,-4066413.622373402,-0.90415,420690000000000.0,420690000000000.0,420690000000000.0,4.31e-06,-75.40694,2023-05-05T16:50:45.302Z,5.5142e-08,1820.92785,2023-04-18T02:14:41.591Z,,2023-08-22T15:35:20.831Z,,,
85,klay-token,klay,Klaytn,https://assets.coingecko.com/coins/images/9672/large/klaytn.png?1660288824,0.13802,440714510,86,,3886927.0,0.140156,0.137848,-0.000921544311053069,-0.66326,-2014262.9915547967,-0.45497,3193382551.0609,,,4.34,-96.81779,2021-03-30T03:44:28.828Z,0.06044,128.44816,2020-04-29T08:19:34.574Z,,2023-08-22T15:35:24.320Z,,,
86,chiliz,chz,Chiliz,https://assets.coingecko.com/coins/images/8834/large/CHZ_Token_updated.png?1675848257,0.063008,439322801,87,559817816.0,23902560.0,0.064613,0.062828,-0.000206339196103175,-0.32641,-731961.1175079942,-0.16633,6975647158.46,8888888888.0,8888888888.0,0.878633,-92.83551,2021-03-13T08:04:21.200Z,0.00410887,1432.04085,2019-09-28T00:00:00.000Z,,2023-08-22T15:35:24.521Z,1.8639917883210546,usd,186.39917883210546
87,frax-share,fxs,Frax Share,https://assets.coingecko.com/coins/images/13423/large/Frax_Shares_icon.png?1679886947,5.96,434693243,88,592603464.0,12168782.0,6.13,5.94,-0.07026245349130456,-1.16469,-6745929.160674274,-1.52817,73119506.0665834,99681495.5911336,99681495.5911336,42.8,-86.1115,2022-01-12T15:22:27.465Z,1.5,295.44989,2021-06-25T16:50:51.447Z,,2023-08-22T15:35:20.288Z,,,
88,frax-ether,frxeth,Frax Ether,https://assets.coingecko.com/coins/images/28284/large/frxETH_icon.png?1679886981,1654.41,418894092,89,418894092.0,1290535.0,1672.28,1650.85,0.310105,0.01875,-3393204.8735408783,-0.80353,253209.160563194,253209.160563194,,2134.61,-22.57122,2023-04-16T19:24:52.171Z,1137.25,45.33367,2022-11-23T02:25:33.267Z,,2023-08-22T15:35:17.445Z,,,
89,iota,miota,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,0.142196,395089075,90,395089075.0,5515806.0,0.144887,0.141276,-0.0004469083520732,-0.31331,-7156286.142089605,-1.77908,2779530283.277761,2779530283.0,,5.25,-97.29196,2017-12-19T00:00:00.000Z,0.081637,74.10996,2020-03-13T02:22:41.168Z,,2023-08-22T15:35:17.207Z,3.0825374340222447,btc,308.2537434022245
90,casper-network,cspr,Casper Network,https://assets.coingecko.com/coins/images/15279/large/casper.PNG?1620341020,0.03496902,393858179,91,417972559.0,2397747.0,0.0354531,0.03493056,-0.000244042542473732,-0.69305,-1427832.5025257468,-0.36122,11264619682.0,11954307847.0,,1.33,-97.36092,2021-05-12T00:00:00.000Z,0.02241297,56.06864,2022-06-18T20:14:44.694Z,,2023-08-22T15:34:58.907Z,,,
91,bittorrent,btt,BitTorrent,https://assets.coingecko.com/coins/images/22457/large/btt_logo.png?1643857231,4.12075e-07,392303881,92,408211034.0,21150416.0,4.16899e-07,4.11294e-07,-3.248902231e-09,-0.78226,-2579745.6703633666,-0.65329,951421714286000.0,990000000000000.0,990000000000000.0,3.43e-06,-87.9978,2022-01-21T04:00:31.909Z,4.11294e-07,0.13176,2023-08-22T15:15:45.486Z,,2023-08-22T15:35:17.812Z,,,
92,tokenize-xchange,tkx,Tokenize Xchange,https://assets.coingecko.com/coins/images/4984/large/TKX_-_Logo_-_RGB-15.png?1672912391,4.87,389785998,93,487256861.0,6826444.0,4.96,4.85,-0.02692080443135758,-0.54925,-2522178.244247198,-0.64291,79995999.94518414,100000000.0,100000000.0,22.3,-78.1354,2022-10-31T10:23:59.455Z,0.111255,4281.82256,2019-04-28T00:00:00.000Z,,2023-08-22T15:33:32.620Z,15.779442952074671,usd,1577.9442952074671
93,sui,sui,Sui,https://assets.coingecko.com/coins/images/26375/large/sui_asset.jpeg?1683114182,0.536107,388310195,94,5369614178.0,132266484.0,0.555876,0.505905,0.02052171,3.98027,13037196.0,3.47406,723162190.461538,10000000000.0,10000000000.0,2.16,-75.16085,2023-05-03T12:00:26.430Z,0.462847,16.05361,2023-08-17T22:50:06.690Z,,2023-08-22T15:35:24.740Z,,,
94,curve-dao-token,crv,Curve DAO,https://assets.coingecko.com/coins/images/12124/large/Curve.png?1597369484,0.452184,387905256,95,1493902711.0,48485683.0,0.481972,0.450224,-0.020502200683871374,-4.33738,-16834936.9609766,-4.15944,857661483.0,1999807270.98168,3303030299.0,15.37,-97.05128,2020-08-14T00:00:00.000Z,0.331577,36.70417,2020-11-05T13:09:50.181Z,,2023-08-22T15:35:21.038Z,,,
95,huobi-token,ht,Huobi,https://assets.coingecko.com/coins/images/2822/large/huobi-token-logo.png?1547036992,2.38,379317014,96,478411407.0,14481427.0,2.41,2.38,-0.019063614041864074,-0.79505,-3150061.926860988,-0.82362,159406077.0,201050000.0,201050000.0,39.66,-94.0013,2021-05-12T14:42:21.586Z,0.3138,658.1678,2023-03-10T05:05:00+08:00,,2023-08-22T15:35:24.415Z,1.4027639810809667,usd,140.27639810809666
96,mina-protocol,mina,Mina Protocol,https://assets.coingecko.com/coins/images/15628/large/JM4_vQ34_400x400.png?1621394004,0.396168,378159066,97,422035468.0,4604292.0,0.402752,0.393922,-0.003378165381682841,-0.8455,-1998308.5445593596,-0.52565,955109893.840039,1065927772.84004,,9.09,-95.63977,2021-06-01T01:42:37.064Z,0.372282,6.46778,2023-08-17T21:49:55.138Z,,2023-08-22T15:35:23.695Z,,,
97,terra-luna,lunc,Terra Luna Classic,https://assets.coingecko.com/coins/images/8284/large/01_LunaClassic_color.png?1653547790,6.478e-05,376651431,98,443011755.0,13603670.0,6.625e-05,6.389e-05,7.40442e-07,1.15622,4247605.0,1.14059,5813885194131.9,6838204429412.53,,119.18,-99.99995,2022-04-05T12:24:58.854Z,9.99967e-07,6347.36031,2022-05-13T02:34:40.340Z,,2023-08-22T15:35:20.002Z,,,
98,gemini-dollar,gusd,Gemini Dollar,https://assets.coingecko.com/coins/images/5992/large/gemini-dollar-gusd.png?1536745278,0.999597,361020982,99,361020982.0,945283.0,1.002,0.994804,-0.0006977752828079,-0.06976,-1417333.339550376,-0.39106,361174915.91,361174915.91,,3.3,-69.73423,2018-10-11T17:36:21.529Z,0.78261,27.76991,2018-09-29T00:00:00.000Z,,2023-08-22T15:35:18.395Z,-0.000403384588255,usd,-0.0403384588255
99,trust-wallet-token,twt,Trust Wallet,https://assets.coingecko.com/coins/images/11085/large/Trust.png?1588062702,0.845267,352346407,100,845665406.0,5398910.0,0.876451,0.84065,-0.009215189004791235,-1.07845,-3515023.598608017,-0.98775,416649900.0,1000000000.0,,2.72,-68.92857,2022-12-11T23:25:46.205Z,0.00277641,30350.28743,2020-06-09T09:15:06.983Z,,2023-08-22T15:35:19.236Z,,,
